show_id,type,date_added,release_year,rating,duration
s107,TV Show,"September 5, 2021",2021,TV-G,5 Seasons
s108,Movie,"September 4, 2021",2018,G,90 min
s109,TV Show,"September 3, 2021",2021,TV-G,1 Season
s110,TV Show,"September 3, 2021",2021,TV-MA,5 Seasons
s111,TV Show,"September 3, 2021",2021,TV-MA,1 Season
s112,TV Show,"September 3, 2021",2021,TV-Y,1 Season
s113,Movie,"September 3, 2021",2021,PG-13,119 min
s114,Movie,"September 2, 2021",2021,TV-PG,110 min
s115,Movie,"September 2, 2021",1994,TV-14,143 min
s116,Movie,"September 2, 2021",2009,PG,119 min
s117,Movie,"September 2, 2021",2015,TV-PG,114 min
s118,Movie,"September 2, 2021",2021,PG-13,94 min
s119,Movie,"September 2, 2021",2017,TV-14,106 min
s120,Movie,"September 2, 2021",2020,TV-MA,99 min
s121,TV Show,"September 2, 2021",2021,TV-Y7,1 Season
s122,TV Show,"September 2, 2021",2019,TV-14,1 Season
s123,Movie,"September 2, 2021",2003,R,118 min
s124,TV Show,"September 2, 2021",2012,TV-Y7,1 Season
s125,TV Show,"September 2, 2021",2013,TV-Y7,3 Seasons
s126,TV Show,"September 2, 2021",2021,TV-MA,1 Season
s127,Movie,"September 2, 2021",2020,TV-14,115 min
s128,Movie,"September 1, 2021",2004,PG,95 min
s129,Movie,"September 1, 2021",2017,PG-13,115 min
s130,Movie,"September 1, 2021",2005,PG-13,108 min
s131,Movie,"September 1, 2021",2021,TV-Y,63 min
s132,Movie,"September 1, 2021",1982,R,117 min
s133,TV Show,"September 1, 2021",2021,TV-MA,1 Season
s134,Movie,"September 1, 2021",2015,R,121 min
s135,Movie,"September 1, 2021",1994,PG-13,142 min
s136,Movie,"September 1, 2021",1993,R,113 min
s137,Movie,"September 1, 2021",2003,R,154 min
s138,Movie,"September 1, 2021",2001,PG,95 min
s139,Movie,"September 1, 2021",2010,PG-13,108 min
s140,Movie,"September 1, 2021",1989,R,120 min
s141,Movie,"September 1, 2021",2014,TV-MA,100 min
s142,Movie,"September 1, 2021",2015,R,82 min
s143,Movie,"September 1, 2021",2007,PG-13,124 min
s144,Movie,"September 1, 2021",2011,PG-13,114 min
s145,Movie,"September 1, 2021",1990,R,104 min
s146,Movie,"September 1, 2021",1991,R,94 min
s147,Movie,"September 1, 2021",1994,R,94 min
s148,TV Show,"September 1, 2021",2021,TV-PG,1 Season
s149,TV Show,"September 1, 2021",2020,TV-14,1 Season
s150,Movie,"September 1, 2021",1998,R,93 min
s151,Movie,"September 1, 2021",1999,R,97 min
s152,Movie,"September 1, 2021",2005,TV-14,109 min
s153,Movie,"September 1, 2021",2016,TV-MA,88 min
s154,TV Show,"September 1, 2021",2016,TV-Y,2 Seasons
s155,TV Show,"September 1, 2021",2015,TV-MA,3 Seasons
s156,Movie,"September 1, 2021",1986,PG,101 min
s157,Movie,"September 1, 2021",2010,PG,105 min
s158,Movie,"September 1, 2021",2018,TV-14,102 min
s159,Movie,"September 1, 2021",2003,PG-13,101 min
s160,Movie,"September 1, 2021",2010,TV-MA,103 min
s161,TV Show,"September 1, 2021",1992,TV-PG,4 Seasons
